pattern	KG	SPARQLML_query	results_file	target_col	real_col	pred_col	n_tasks	query_select_both_cols	metric
1p	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?country ?pred_country from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:nationality ?country. ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetLabel> yago:Country. ?NodeClassifier <kgnet:targetEdge> yago:nationality. ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2010-01-01')). }	1p_person_country_yago4.tsv	Person	country	pred_country	1	1	accuracy
1p	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?Occupation ?pred_Occupation from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:hasOccupation ?Occupation. ?Person ?NodeClassifier ?pred_Occupation . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetLabel> yago:Occupation. ?NodeClassifier <kgnet:targetEdge> yago:hasOccupation. ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2010-01-01')). }	1p_person_occupation_yago4.tsv	Person	Occupation	pred_Occupation	1	1	accuracy
2p	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?Organization ?pred_Organization from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:nationality ?country. ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. ?country yago:memberOf ?Organization. ?pred_country ?NodeClassifier2 ?pred_Organization. ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Country. ?NodeClassifier2 <kgnet:targetEdge> yago:memberOf. ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2010-01-01')). }	2p_person_country_organization_yago4.tsv	Person	Organization	pred_Organization	2	1	accuracy
3p	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person from <https://yago-knowledge.org> where { ?Person a yago:Person  . ?Person yago:nationality ?country . ?Person ?NodeClassifier ?pred_country  . ?NodeClassifier a <kgnet:types/NodeClassifier> . ?NodeClassifier <kgnet:targetNode> yago:Person . ?NodeClassifier <kgnet:targetEdge> yago:nationality . ?country yago:memberOf ?Organization . ?pred_country ?NodeClassifier2 ?pred_Organization . ?NodeClassifier2 a <kgnet:types/NodeClassifier> . ?NodeClassifier2 <kgnet:targetNode> yago:Country . ?NodeClassifier2 <kgnet:targetEdge> yago:memberOf . ?Organization yago:award ?Award . ?pred_Organization ?NodeClassifier3 ?pred_Award . ?NodeClassifier3 a <kgnet:types/NodeClassifier> . ?NodeClassifier3 <kgnet:targetNode> yago:Organization . ?NodeClassifier3 <kgnet:targetEdge> yago:award . filter(?pred_Award in (<http://yago-knowledge.org/resource/Peabody_Award>)). ?Person yago:birthDate ?bdate  . filter(xsd:date(?bdate)>=xsd:date('2005-01-01')) . }	3p_person_country_organization_award_yago4.tsv	Person	Person	Person	3	0	precision
2i	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('1990-01-01')). ?Person yago:nationality ?country. ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. ?Person yago:alumniOf ?org. ?Person ?NodeClassifier2 ?pred_org . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:alumniOf. filter (?pred_country in (<http://yago-knowledge.org/resource/United_States>)). filter (?pred_org in (<http://yago-knowledge.org/resource/Harvard_University>)). }	2i_person_country_organization_yago4.tsv	Person	Person	Person	2	0	precision
3i	YAGO4	 prefix yago:<http://schema.org/> select distinct ?Person from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('1980-01-01')). ?Person yago:nationality ?country. ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. ?Person yago:alumniOf ?org. ?Person ?NodeClassifier2 ?pred_org . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:alumniOf. ?Person yago:hasOccupation ?Occupation. ?Person ?NodeClassifier3 ?pred_Occupation . ?NodeClassifier3 a <kgnet:types/NodeClassifier>. ?NodeClassifier3 <kgnet:targetNode> yago:Person. ?NodeClassifier3 <kgnet:targetEdge> yago:hasOccupation. filter (?country in (<http://yago-knowledge.org/resource/United_States>)). filter (?pred_country in (<http://yago-knowledge.org/resource/United_States>)). filter (?pred_org in (<http://yago-knowledge.org/resource/Harvard_University>)). filter (?pred_Occupation in (<http://yago-knowledge.org/resource/Actor>)). }	3i_person_country_organization_occupation_yago4.tsv	Person	Person	Person	3	0	precision
ip	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?Organization ?pred_Organization from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2000-01-01')). ?Person yago:nationality ?country. ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. filter (?pred_country in (<http://yago-knowledge.org/resource/United_States>)). ?Person yago:hasOccupation ?Occupation. ?Person ?NodeClassifier2 ?pred_Occupation . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:hasOccupation. filter (?pred_Occupation in (<http://yago-knowledge.org/resource/Actor>)). ?country yago:memberOf ?Organization. ?pred_country ?NodeClassifier3 ?pred_Organization. ?NodeClassifier3 a <kgnet:types/NodeClassifier>. ?NodeClassifier3 <kgnet:targetNode> yago:Country. ?NodeClassifier3 <kgnet:targetEdge> yago:memberOf. }	ip_person_country_organization_occupation_yago4.tsv	Person	Person	Person	3	0	precision
pi	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?Occupation ?pred_Occupation from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2000-01-01')). ?Person yago:nationality ?country. ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. ?country yago:memberOf ?Organization. ?pred_country ?NodeClassifier2 ?pred_Organization. ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Country. ?NodeClassifier2 <kgnet:targetEdge> yago:memberOf. filter (?pred_Organization in (<http://yago-knowledge.org/resource/United_Nations>)). ?Person yago:hasOccupation ?Occupation. ?Person ?NodeClassifier3 ?pred_Occupation . ?NodeClassifier3 a <kgnet:types/NodeClassifier>. ?NodeClassifier3 <kgnet:targetNode> yago:Person. ?NodeClassifier3 <kgnet:targetEdge> yago:hasOccupation. filter (?pred_Occupation in (<http://yago-knowledge.org/resource/Actor>)).}	pi_person_country_organization_occupation_yago4.tsv	Person	Occupation	pred_Occupation	3	0	accuracy
2u	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2005-01-01')). Optional{ ?Person yago:nationality ?country.} ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. Optional {?Person yago:hasOccupation ?Occupation.} ?Person ?NodeClassifier2 ?pred_Occupation . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:hasOccupation. filter (?pred_country in (<http://yago-knowledge.org/resource/United_States>) || ?pred_Occupation in (<http://yago-knowledge.org/resource/Actor>)). }	2u_person_country_occupation_yago4.tsv	Person	Person	Person	2	1	precision
up	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?Organization ?pred_Organization from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2010-01-01')). Optional{ ?Person yago:nationality ?country.} ?Person ?NodeClassifier ?pred_country . ?NodeClassifier a <kgnet:types/NodeClassifier>. ?NodeClassifier <kgnet:targetNode> yago:Person. ?NodeClassifier <kgnet:targetEdge> yago:nationality. Optional {?Person yago:hasOccupation ?Occupation.} ?Person ?NodeClassifier2 ?pred_Occupation . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:hasOccupation. filter (?pred_country in (<http://yago-knowledge.org/resource/United_States>) || ?pred_Occupation in (<http://yago-knowledge.org/resource/Actor>)). ?country yago:memberOf ?Organization. ?pred_country ?NodeClassifier3 ?pred_Organization. ?NodeClassifier3 a <kgnet:types/NodeClassifier>. ?NodeClassifier3 <kgnet:targetNode> yago:Country. ?NodeClassifier3 <kgnet:targetEdge> yago:memberOf. }	up_person_country_occupation_organization_yago4.tsv	Person	Organization	pred_Organization	3	1	accuracy
2in	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person ?Occupation ?pred_Occupation from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2005-01-01')). ?Person yago:hasOccupation ?Occupation. ?Person ?NodeClassifier1 ?pred_Occupation . ?NodeClassifier1 a <kgnet:types/NodeClassifier>. ?NodeClassifier1 <kgnet:targetNode> yago:Person. ?NodeClassifier1 <kgnet:targetEdge> yago:hasOccupation. ?Person yago:nationality ?country. ?Person ?NodeClassifier2 ?pred_country . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:nationality. filter (?pred_country not in (<http://yago-knowledge.org/resource/United_States>)). }	2in_person_country_occupation_yago4.tsv	Person	Occupation	pred_Occupation	2	1	accuracy
3in	YAGO4	prefix yago:<http://schema.org/>  select distinct ?Person  from <https://yago-knowledge.org>  where  {   ?Person a yago:Person .   ?Person yago:birthDate ?bdate .  filter(xsd:date(?bdate)>=xsd:date('1985-01-01')).      ?Person yago:hasOccupation ?Occupation.    ?Person ?NodeClassifier1 ?pred_Occupation .   ?NodeClassifier1 a <kgnet:types/NodeClassifier>.   ?NodeClassifier1 <kgnet:targetNode> yago:Person.   ?NodeClassifier1 <kgnet:targetEdge> yago:hasOccupation.  filter(?pred_Occupation not in (<http://yago-knowledge.org/resource/Writer>)).     ?Person yago:nationality ?country.   ?Person ?NodeClassifier2 ?pred_country .   ?NodeClassifier2 a <kgnet:types/NodeClassifier>.   ?NodeClassifier2 <kgnet:targetNode> yago:Person.   ?NodeClassifier2 <kgnet:targetEdge> yago:nationality.   filter (?pred_country in (<http://yago-knowledge.org/resource/United_States>)).      ?Person yago:memberOf ?org.   filter (?org in (<http://yago-knowledge.org/resource/Democratic_Party_(United_States)>)).    ?Person ?NodeClassifier3 ?pred_org .   ?NodeClassifier3 a <kgnet:types/NodeClassifier>.   ?NodeClassifier3 <kgnet:targetNode> yago:Person.   ?NodeClassifier3 <kgnet:targetEdge> yago:memberOf.    filter (?pred_org in (<http://yago-knowledge.org/resource/Democratic_Party_(United_States)>)).    }	3in_person_country_occupation_organization_yago4.tsv	Person	Person	Person	3	1	precision
inp	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person from <https://yago-knowledge.org> where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2005-01-01')). ?Person yago:hasOccupation ?Occupation. ?Person ?NodeClassifier1 ?pred_Occupation . ?NodeClassifier1 a <kgnet:types/NodeClassifier>. ?NodeClassifier1 <kgnet:targetNode> yago:Person. ?NodeClassifier1 <kgnet:targetEdge> yago:hasOccupation. ?Person yago:nationality ?country. ?Person ?NodeClassifier2 ?pred_country . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:nationality. filter (?pred_country not in (<http://yago-knowledge.org/resource/United_States>)). ?country yago:memberOf ?Organization. ?pred_country ?NodeClassifier3 ?pred_Organization. ?NodeClassifier3 a <kgnet:types/NodeClassifier>. ?NodeClassifier3 <kgnet:targetNode> yago:Country. ?NodeClassifier3 <kgnet:targetEdge> yago:memberOf. filter (?pred_Organization in (<http://yago-knowledge.org/resource/Holy_Roman_Empire>)). } 	inp_person_country_occupation_organization_yago4.tsv	Person	Person	Person	3	1	precision
pni	YAGO4	prefix yago:<http://schema.org/> select distinct ?Person from <https://yago-knowledge.org> Where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('2005-01-01')).    ?Person yago:hasOccupation ?Occupation . ?Person ?NodeClassifier1 ?pred_Occupation . ?NodeClassifier1 a <kgnet:types/NodeClassifier>. ?NodeClassifier1 <kgnet:targetNode> yago:Person. ?NodeClassifier1 <kgnet:targetEdge> yago:hasOccupation. ?Person yago:nationality ?country. ?Person ?NodeClassifier2 ?pred_country . ?NodeClassifier2 a <kgnet:types/NodeClassifier>. ?NodeClassifier2 <kgnet:targetNode> yago:Person. ?NodeClassifier2 <kgnet:targetEdge> yago:nationality. ?country yago:memberOf ?Organization. ?pred_country ?NodeClassifier3 ?pred_Organization. ?NodeClassifier3 a <kgnet:types/NodeClassifier>. ?NodeClassifier3 <kgnet:targetNode> yago:Country. ?NodeClassifier3 <kgnet:targetEdge> yago:memberOf. filter (?pred_Organization not in (<http://yago-knowledge.org/resource/United_Nations>)). }	pni_person_country_occupation_organization_yago4.tsv	Person	Person	Person	3	1	precision
pin	YAGO4	prefix yago:<http://schema.org/> prefix kgnet:<http://kgnet/> select distinct ?Person from <https://yago-knowledge.org> Where { ?Person a yago:Person . ?Person yago:birthDate ?bdate . filter(xsd:date(?bdate)>=xsd:date('1980-01-01')). ?Person yago:alumniOf ?univ . ?Person ?nodeClassifier1 ?pred_univ . ?nodeClassifier1 a <kgnet:types/nodeClassifier>. ?nodeClassifier1 <kgnet:targetnode> yago:Person. ?nodeClassifier1 <kgnet:targetEdge> yago:alumniOf. ?univ yago:award ?award. ?pred_univ ?nodeClassifier2 ?pred_award. ?nodeClassifier2 a <kgnet:types/nodeClassifier>. ?nodeClassifier2 <kgnet:targetnode> yago:Organization. ?nodeClassifier2 <kgnet:targetEdge> yago:award. filter (?pred_award in (<http://yago-knowledge.org/resource/Peabody_Award>)). ?Person yago:nationality ?country. ?Person ?nodeClassifier3 ?pred_country . ?nodeClassifier3 a <kgnet:types/nodeClassifier>. ?nodeClassifier3 <kgnet:targetnode> yago:Person. ?nodeClassifier3 <kgnet:targetEdge> yago:nationality. ?country yago:memberOf ?Organization. ?pred_country ?nodeClassifier4 ?pred_Organization. ?nodeClassifier4 a <kgnet:types/nodeClassifier>. ?nodeClassifier4 <kgnet:targetnode> yago:Country. ?nodeClassifier4 <kgnet:targetEdge> yago:memberOf. filter (?pred_Organization not in (<http://yago-knowledge.org/resource/United_Nations>)). }	pin_person_occupation_language_country_organization_yago4.tsv	Person	Person	Person	4	1	precision